Metadata Id,Title,Responsible Name,Responsible Email,Reference Date,Language,Scale,Lineage,Citation Text,Disclaimer,Original Metadata ID
2076,Áreas Protegidas de Chile,"Ministerio del Medio Ambiente, Departamento de Estadisticas e Información Ambiental, Chile","Karin Molt, kmolt@mma.gob.cl; Claudia Cortés, claudia.cortes@mma.gov.cl                                              Organización: MMA",01/Jan/2010,English,250000,"Proyecto “Actualización y Estandarización de la Cartografía Digital de las Áreas Protegidas de Chile”  financiada por la Secretaria General de la Organización de los Estados Americanos (OEA).
Departamento de Desarrollo Sostenible d","Áreas protegidas de Chile, Ministerio del Medio Ambiente (2010)",,919
2286,"Indigenous Areas of Brazil
","Coordenação Geral de Geoprocessamento (CGGEO)/ Fundação Nacional do Índio (FUNAI ), Brazil
","cggeo.informacao@funai.gov.br
",01/Jan/2011,English,100000,Not Reported,,,905
2826,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador and Administración de Parques Nacionales (APN), Argentina",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 1200 - Administración de Parques Nacionales (APN), Argentina, 1998.",,,1728
2353,Protected Areas of Argentina,"Administración de Parques Nacionales (APN), Argentina",Not Reported,01/Jan/1994,English,0,Not Reported,,,1001
2824,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador and Administración de Parques Nacionales (APN), Argentina",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 1001 - Administración de Parques Nacionales (APN), Argentina, 1994.",,,1726
2677,Protected Areas of Uruguay,"Information Management, Dept. Environmental Information System, DINAMA, MVOTMA, Uruguay",rosina.segui@dinama.gub.uy,01/Jan/2012,English,50000,"PAs whose boundaries defined/proposed by law. Some integrated into National System of PAs (SNAP) & others in process of entering system. Boundaries based on info stated in regulations, proposals, incoming projects to SNAP & interviews with stakeholders.",,,1709
2819,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 3 - from 1991.",,,1721
2274,NOAA MPA Inventory Essential Fish Habitat Conservation Area,"National Oceanic and Atmospheric Administration (NOAA), USA",Mimi.Diorio@noaa.gov,01/Jan/2010,English,0,"Provided to WCMC. NOAA processes: GIS data for all sites were collected from authoritative sources. Data were either downloaded from public websites, requested directly from MPA managers or digitized based on legal definitions by GIS manager.","Department of Commerce, National Oceanic and Atmospheric Administration, Ocean and Coastal Resource Management, National Marine Protected Areas Center (2010) Essential Fish Habitat subset of the MPA Inventory, NOAA's Ocean Service, (MPAC), Monterey, CA",,879
1924,Ramsar Wetlands of International Importance,Ramsar Secretariat,protectedareas@unep-wcmc.org,01/Jan/2011,English,0,"Site locations taken from Lat/Lons provided, and refined where necessary. Previous information on whether sites are marine and area figures were transferred to these data. Doc from www.ramsar.org/cda/en/ramsar-documents-list/main/ramsar/1-31-218_4000_0__",The Secretariat of the Convention on Wetlands (2011) Wetlands of International Importance (Ramsar sites).,,911
2302,Ramsar Wetlands of International Importance,Ramsar Secretariat,protectedareas@unep-wcmc.org,01/Jan/2012,English,0,"Information based on Ramsar List received from Ramsar Secretariat, March 2012. Polygons created using national polygons.",,,1673
2073,Peruvian National Natural Protected Areas,Servicio Nacional de Areas Protegidas por el Estado or SERNANP (National service of Natural Protected Areas) of the Environmental Ministry of Peru,mhuancauqui@sernanp.gob.pe,01/Jan/2011,English,100000,"The cadastre of National Natural Protected Areas are delimited based on the National Letters of the National Geographic Institute, at the scale of 1:100 000, and stored in Shape Format Files, in a Datum WGS 84 geographic coordinate projection, which is u",,,920
2292,Marine Protected Areas with No Take,"MPA Global, UNEP-WCMC & WWF",protectedareas@unep-wcmc.org,01/Jan/2008,English,0,MPAs with no-take areas were integrated from the MPA Global dataset,"Wood, L. J. (2008). MPA Global: A database of the world's marine protected areas. Sea Around Us Project, UNEP-WCMC & WWF",,921
2280,Conservation of Arctic Flora and Fauna protected areas dataset,"Conservation of Arctic Flora and Fauna (CAFF) - Executive Secretary, Borgir, Nordurslod, 600 Akureyri, Iceland, +3544623350",caff@caff.is,01/Jan/2010,English,0,"The  CAFF dataset started as a subset of the WDPA that was improved through official updates and verification.  All data included in the CAFF dataset (2010) was validated, updated or submitted via focal points in the relevant national government agencies",,,890
2109,UNESCO-MAB Biosphere Reserves,UNESCO-MAB and UNEP-WCMC,protectedareas@unep-wcmc.org,01/Jan/2012,English,0,"Point locations generated from latitudes & longitudes provided by UNESCO, along with attribute information. Areas taken from the Directory of the World Network of Biosphere Reserves online.",,,1688
2670,Ramsar Wetlands of International Importance,Ramsar Secretariat and UNEP-WCMC,protectedareas@unep-wcmc.org,01/Jan/2012,English,0,Information from on Ramsar Bulletin Board and Ramsar News Archives accessed from March-June 2012. Polygons updated/created using national polygons.,,,1698
2418,Protected areas of Argentina,"Administración de Parques Nacionales (APN), Argentina",Not Reported,01/Jan/1998,English,0,Not Reported,,,1200
2823,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador and UNESCO-MAB",Not Reported,01/Jan/2008,English,0,"Spatial data sourced from TNC Latin American PA dataset 2008. Attribute data from previous source - metadata ID 988 - MAB website (updated 3rd June 2004), accessed June 2004.",,,1725
3,Sistema Nacional de Areas Protegidas - Republica Argentina,Not Reported,Not Reported,01/Jan/1991,English,5000000,"Point data were derived from a dyeline 1:5,000,000 scale map Sistema Nacional de Areas Protegidas - República Argentina (1991), prepared by Rodolfo Burkart and Pedro Benavente at a scale of 1:5,000,000.",,,3
2626,Kure Atoll,UNEP-WCMC,Not Reported,01/Jan/1995,English,0,http://hawaiireef.noaa.gov/maps/maps.html; Data taken from the web site and converted into digital outlines at UNEP-WCMC.,,,1107
2358,Protected Areas of Argentina,"Provincia de Rio Negro, Consejo de Ecologia y Medio Ambiente - Delegacion Bariloche",Not Reported,01/Jan/1996,English,0,"D. Paz Barreto, Jan 1996. in litt",,,1007
2825,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador and Provincia de Rio Negro, Consejo de Ecologia y Medio Ambiente - Delegacion Bariloche",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 1007 - from 1996.",,,1727
2820,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 926 - Kelleher, G., Bleakley, C. and Wells, S. (1995).",,,1722
2272,Protected Areas of Liberia,"Forestry Development Authority, Liberia",jodkantor@yahoo.com,01/Jan/2010,English,0,"The Forestry Development Authority(FDA) provided the most recent dataset of protected areas in Liberia, which includes 2 gazetted sites and 13 proposed sites",Forestry Development Authority (2010) Protected Areas of Liberia,,876
2361,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous unknown source of 'Merino' in 1987.",,,1019
2817,Protected Areas of Argentina,"The Nature Conservancy (TNC) Latin America, Ecuador and Administración de Parques Nacionales (APN), Argentina",Not Reported,01/Jan/2008,English,0,"Spatial data, names and designations sourced from TNC Latin American PA dataset 2008. All other attribute data from previous source - metadata ID 292 - Administración de Parques Nacionales (APN), Argentina, 1997.",,,1719
2374,Protected Areas of Falkland Islands,Falkland Islands Government,Not Reported,01/Jan/1993,English,0,Agency response to UN List 1993 data request,,,1057
291,Parque Nacional Tierra del Fuego,"Instituto Geográfico Militar, Argentina and The Nature Conservancy (TNC) Latin America, Ecuador",Not Reported,01/Jan/2008,English,0,"Original attribute data from Instituto Geográfico Militar, Argentina, 1980. Spatial data updated by 2008 TNC Latin American dataset.",,,291
145,South Georgia and South Sandwich Islands,Not Reported,Not Reported,01/Jan/1990,English,0,Not Reported,,,145
2307,South Georgia and South Sandwich Islands Marine Protected Area,"Government of South Georgia & South Sandwich Islands, Government House, Stanley, Falkland Islands
",dof@gov.gs,01/Jan/2012,English,0,"Information provided by Government of South Georgia & South Sandwich Islands and from management plan, with polygon provided via the British Antarctic Survey",,,1679
